"","student_id","subsection","lecture_points","video_seconds"
"1",0,"Lecture 1",4,1658
"2",0,"Lecture 10",0,0
"3",0,"Lecture 11",0,0
"4",0,"Lecture 12",0,0
"5",0,"Lecture 13",0,0
"6",0,"Lecture 14",0,0
"7",0,"Lecture 15",0,0
"8",0,"Lecture 16",0,0
"9",0,"Lecture 2",1,876
"10",0,"Lecture 3",1,1177
"11",0,"Lecture 4",0,0
"12",0,"Lecture 5",0,0
"13",0,"Lecture 6",0,0
"14",0,"Lecture 7",0,0
"15",0,"Lecture 8",0,0
"16",0,"Lecture 9",0,0
"17",1,"Lecture 1",2,1669
"18",1,"Lecture 10",0,0
"19",1,"Lecture 11",0,0
"20",1,"Lecture 12",0,0
"21",1,"Lecture 13",0,0
"22",1,"Lecture 14",0,0
"23",1,"Lecture 15",0,0
"24",1,"Lecture 16",0,0
"25",1,"Lecture 2",1,328
"26",1,"Lecture 3",1,103
"27",1,"Lecture 4",0,0
"28",1,"Lecture 5",0,0
"29",1,"Lecture 6",0,0
"30",1,"Lecture 7",0,0
"31",1,"Lecture 8",0,0
"32",1,"Lecture 9",0,0
"33",2,"Lecture 1",1,386
"34",2,"Lecture 10",0,0
"35",2,"Lecture 11",0,0
"36",2,"Lecture 12",0,0
"37",2,"Lecture 13",0,0
"38",2,"Lecture 14",0,0
"39",2,"Lecture 15",0,0
"40",2,"Lecture 16",0,0
"41",2,"Lecture 2",0,0
"42",2,"Lecture 3",0,0
"43",2,"Lecture 4",0,0
"44",2,"Lecture 5",0,0
"45",2,"Lecture 6",0,0
"46",2,"Lecture 7",0,0
"47",2,"Lecture 8",0,0
"48",2,"Lecture 9",0,0
"49",3,"Lecture 1",0,871
"50",3,"Lecture 10",0,0
"51",3,"Lecture 11",0,0
"52",3,"Lecture 12",0,0
"53",3,"Lecture 13",0,0
"54",3,"Lecture 14",0,0
"55",3,"Lecture 15",0,0
"56",3,"Lecture 16",0,0
"57",3,"Lecture 2",0,0
"58",3,"Lecture 3",0,0
"59",3,"Lecture 4",0,0
"60",3,"Lecture 5",0,0
"61",3,"Lecture 6",0,0
"62",3,"Lecture 7",0,0
"63",3,"Lecture 8",0,0
"64",3,"Lecture 9",0,0
"65",4,"Lecture 1",0,17
"66",4,"Lecture 10",0,0
"67",4,"Lecture 11",0,0
"68",4,"Lecture 12",0,0
"69",4,"Lecture 13",0,0
"70",4,"Lecture 14",0,0
"71",4,"Lecture 15",0,0
"72",4,"Lecture 16",0,0
"73",4,"Lecture 2",0,0
"74",4,"Lecture 3",0,0
"75",4,"Lecture 4",0,0
"76",4,"Lecture 5",0,0
"77",4,"Lecture 6",0,0
"78",4,"Lecture 7",0,0
"79",4,"Lecture 8",0,0
"80",4,"Lecture 9",0,0
"81",5,"Lecture 1",1,357
"82",5,"Lecture 10",0,0
"83",5,"Lecture 11",0,0
"84",5,"Lecture 12",0,0
"85",5,"Lecture 13",0,0
"86",5,"Lecture 14",0,0
"87",5,"Lecture 15",0,0
"88",5,"Lecture 16",0,0
"89",5,"Lecture 2",0,0
"90",5,"Lecture 3",0,0
"91",5,"Lecture 4",0,0
"92",5,"Lecture 5",0,0
"93",5,"Lecture 6",0,0
"94",5,"Lecture 7",0,0
"95",5,"Lecture 8",0,0
"96",5,"Lecture 9",0,0
"97",6,"Lecture 1",3,1195
"98",6,"Lecture 10",0,0
"99",6,"Lecture 11",0,0
"100",6,"Lecture 12",0,0
"101",6,"Lecture 13",0,0
"102",6,"Lecture 14",0,0
"103",6,"Lecture 15",0,0
"104",6,"Lecture 16",0,0
"105",6,"Lecture 2",0,503
"106",6,"Lecture 3",0,228
"107",6,"Lecture 4",0,0
"108",6,"Lecture 5",0,0
"109",6,"Lecture 6",0,0
"110",6,"Lecture 7",0,0
"111",6,"Lecture 8",0,0
"112",6,"Lecture 9",0,0
"113",7,"Lecture 1",0,0
"114",7,"Lecture 10",0,0
"115",7,"Lecture 11",0,0
"116",7,"Lecture 12",0,0
"117",7,"Lecture 13",0,0
"118",7,"Lecture 14",0,0
"119",7,"Lecture 15",0,0
"120",7,"Lecture 16",0,0
"121",7,"Lecture 2",0,0
"122",7,"Lecture 3",0,0
"123",7,"Lecture 4",0,0
"124",7,"Lecture 5",0,0
"125",7,"Lecture 6",0,0
"126",7,"Lecture 7",0,0
